Quarter,Country,Ship,Gear,SweepLngt,HaulNo,Year,TotalNo,Sci_name,Month,Day,DayNight,ShootLat,ShootLong,Depth,HaulVal,DataType,GRIDID
1,GFR,WAH3  ,GOV   ,-9,67,2001,13,Agonus cataphractus,2,14,D ,54.85,7.8667,19,V   ,C ,364
1,FRA,THA2  ,GOV   ,50,53,2001,4,Agonus cataphractus,3,20,D ,53.4667,2.8833,25,V   ,C ,252
1,SWE,ARG   ,GOV   ,-9,7,2001,34,Agonus cataphractus,1,24,D ,56.2667,10.9833,21,V   ,C ,472
1,FRA,THA2  ,GOV   ,50,17,2001,4,Agonus cataphractus,3,13,D ,55.65,-1.1167,96,V   ,C ,414
1,ENG,CIR   ,GOV   ,50,33,2001,16,Agonus cataphractus,2,12,D ,53.8333,7.4167,23,V   ,C ,295
1,FRA,THA2  ,GOV   ,50,10,2001,2,Agonus cataphractus,3,11,D ,53.95,1.25,35,V   ,C ,283
1,GFR,WAH3  ,GOV   ,-9,1,2001,2,Agonus cataphractus,1,20,D ,55.7667,6.4833,43,V   ,C ,429
1,GFR,WAH3  ,GOV   ,-9,59,2001,2,Agonus cataphractus,2,11,D ,55.4,1.25,79,V   ,C ,385
1,ENG,CIR   ,GOV   ,50,10,2001,4,Agonus cataphractus,2,3,D ,53.9333,1.2833,41,V   ,C ,283
1,FRA,THA2  ,GOV   ,50,12,2002,2,Agonus cataphractus,2,6,D ,53.95,5.2,32,V   ,C ,291
1,SCO,SCO3  ,GOV   ,60,35,2002,2,Agonus cataphractus,1,30,N ,59.5788,-1.1173,128,V   ,C ,686
1,GFR,WAH3  ,GOV   ,-9,13,2002,14,Agonus cataphractus,1,23,D ,57.75,-1.6333,79,V   ,C ,549
1,FRA,THA2  ,GOV   ,50,65,2002,60,Agonus cataphractus,2,23,D ,54.1833,0.1,49,V   ,C ,315
1,FRA,THA2  ,GOV   ,50,67,2002,24,Agonus cataphractus,2,24,D ,53.8333,0.8833,33,V   ,C ,282
1,FRA,THA2  ,GOV   ,50,32,2002,8,Agonus cataphractus,2,11,D ,54.9,7.1167,23,V   ,C ,363
1,SCO,SCO3  ,GOV   ,60,20,2002,2,Agonus cataphractus,1,24,N ,57.0493,3.6178,62,V   ,C ,526
1,GFR,WAH3  ,GOV   ,-9,19,2002,2,Agonus cataphractus,1,25,N ,58.8333,-2.3833,78,V   ,C ,616
1,ENG,CIR   ,GOV   ,50,30,2002,4,Agonus cataphractus,2,16,D ,54.75,4.8333,46,V   ,C ,358
1,GFR,WAH3  ,GOV   ,-9,21,2002,2,Agonus cataphractus,1,25,D ,59.1,-1.2333,115,V   ,C ,652
1,FRA,THA2  ,GOV   ,50,40,2002,4,Agonus cataphractus,2,16,D ,52.8,2.7,35,V   ,C ,218
1,FRA,THA2  ,GOV   ,50,56,2002,12,Agonus cataphractus,2,20,D ,56.2167,-1.5,53,V   ,C ,447
1,FRA,THA2  ,GOV   ,50,77,2002,24,Agonus cataphractus,2,28,D ,51.1167,2.1167,29,V   ,C ,115
1,FRA,THA2  ,GOV   ,50,25,2002,4,Agonus cataphractus,2,9,D ,56.0667,5.7667,44,V   ,C ,462
1,FRA,THA2  ,GOV   ,50,8,2002,4,Agonus cataphractus,2,5,D ,53.6167,3.8833,31,V   ,C ,288
1,FRA,THA2  ,GOV   ,50,7,2002,8,Agonus cataphractus,2,5,D ,53.3667,4.0833,20,V   ,C ,255
1,FRA,THA2  ,GOV   ,50,31,2002,2,Agonus cataphractus,2,11,D ,54.9167,6.7833,28,V   ,C ,362
1,FRA,THA2  ,GOV   ,50,68,2002,32,Agonus cataphractus,2,24,D ,53.4667,0.75,16,V   ,C ,248
1,FRA,THA2  ,GOV   ,50,69,2002,48,Agonus cataphractus,2,24,D ,53.45,1.0667,41,V   ,C ,249
1,FRA,THA2  ,GOV   ,50,35,2002,64,Agonus cataphractus,2,12,D ,54.0333,7.8167,33,V   ,C ,330
1,FRA,THA2  ,GOV   ,50,36,2002,34,Agonus cataphractus,2,12,D ,53.95,7.45,23,V   ,C ,295
1,FRA,THA2  ,GOV   ,50,70,2002,12,Agonus cataphractus,2,25,D ,55.7167,0.8667,69,V   ,C ,418
1,FRA,THA2  ,GOV   ,50,26,2002,14,Agonus cataphractus,2,10,D ,55.9833,6.55,35,V   ,C ,430
1,FRA,THA2  ,GOV   ,50,13,2002,2,Agonus cataphractus,2,6,D ,54.1667,5.5333,32,V   ,C ,326
1,FRA,THA2  ,GOV   ,50,78,2002,10,Agonus cataphractus,2,28,D ,51.0333,1.8333,25,V   ,C ,114
1,FRA,THA2  ,GOV   ,50,66,2002,24,Agonus cataphractus,2,24,D ,53.9667,1.3,32,V   ,C ,283
1,FRA,THA2  ,GOV   ,50,34,2002,86,Agonus cataphractus,2,12,D ,54.3167,8.1167,10,V   ,C ,331
1,FRA,THA2  ,GOV   ,50,42,2002,2,Agonus cataphractus,2,16,D ,53.4333,2.85,23,V   ,C ,252
1,FRA,THA2  ,GOV   ,50,43,2002,2,Agonus cataphractus,2,16,D ,53.65,2.7833,29,V   ,C ,286
1,ENG,CIR   ,GOV   ,50,21,2002,2,Agonus cataphractus,2,13,D ,54.85,0.2167,80,V   ,C ,349
1,GFR,WAH3  ,GOV   ,-9,36,2002,4,Agonus cataphractus,1,29,D ,60.7333,-0.6167,110,V   ,C ,755
1,FRA,THA2  ,GOV   ,50,39,2002,4,Agonus cataphractus,2,13,D ,53.75,5.2833,24,V   ,C ,291
1,FRA,THA2  ,GOV   ,50,41,2002,2,Agonus cataphractus,2,16,D ,53.3833,3.2,21,V   ,C ,253
1,FRA,THA2  ,GOV   ,50,59,2002,2,Agonus cataphractus,2,21,D ,55.5833,-0.7833,86,V   ,C ,415
1,ENG,CIR   ,GOV   ,50,6,2002,10,Agonus cataphractus,2,4,D ,53.4,2.8167,33,V   ,C ,252
1,SCO,SCO3  ,GOV   ,60,6,2002,2,Agonus cataphractus,1,20,D ,56.3002,-0.958,70,V   ,C ,449
1,FRA,THA2  ,GOV   ,50,18,2002,2,Agonus cataphractus,2,7,D ,55.1167,5.1833,34,V   ,C ,393
1,ENG,CIR   ,GOV   ,50,10,2002,118,Agonus cataphractus,2,8,D ,52.3,1.9,32,V   ,C ,182
1,FRA,THA2  ,GOV   ,50,33,2002,4,Agonus cataphractus,2,11,D ,55.0667,7.4,17,V   ,C ,397
1,FRA,THA2  ,GOV   ,50,1,2002,2,Agonus cataphractus,2,3,D ,51.0167,1.7667,22,V   ,C ,114
1,FRA,THA2  ,GOV   ,50,71,2002,11,Agonus cataphractus,2,25,D ,55.2333,0.5,81,V   ,C ,383
1,GFR,WAH3  ,GOV   ,-9,76,2002,10,Agonus cataphractus,2,13,D ,55.1167,6.5333,41,V   ,C ,396
1,GFR,WAH3  ,GOV   ,-9,55,2002,2,Agonus cataphractus,2,7,N ,58.1333,2.0833,77,V   ,C ,591
1,GFR,WAH3  ,GOV   ,-9,27,2002,10,Agonus cataphractus,1,27,N ,60.0167,-1.6167,112,V   ,C ,719
1,GFR,WAH3  ,GOV   ,-9,69,2002,2,Agonus cataphractus,2,11,D ,55.8,2.6167,80,V   ,C ,422
1,ENG,CIR   ,GOV   ,50,25,2002,2,Agonus cataphractus,2,14,D ,53.9667,1.2667,40,V   ,C ,283
1,GFR,WAH3  ,GOV   ,-9,16,2002,2,Agonus cataphractus,1,24,D ,57.9,-3.25,62,V   ,C ,546
1,SCO,SCO3  ,GOV   ,60,24,2002,4,Agonus cataphractus,1,26,D ,57.6668,1.3337,85,V   ,C ,555
1,FRA,THA2  ,GOV   ,50,74,2002,34,Agonus cataphractus,2,27,D ,52.2,2.1,35,V   ,C ,183
1,SCO,SCO3  ,GOV   ,60,41,2002,2,Agonus cataphractus,2,2,D ,59.2345,-2.1968,88,V   ,C ,650
1,ENG,CIR   ,GOV   ,50,37,2002,14,Agonus cataphractus,2,18,D ,53.9167,0.2667,51,V   ,C ,281
1,SCO,SCO3  ,GOV   ,60,10,2002,2,Agonus cataphractus,1,21,D ,56.7818,0.3357,89,V   ,C ,485
1,NOR,MIC   ,GOV   ,-9,37,2002,2,Agonus cataphractus,2,16,N ,56.5833,7.0833,35,V   ,C ,499
1,FRA,THA2  ,GOV   ,50,52,2002,4,Agonus cataphractus,2,19,D ,56.1,0.95,74,V   ,C ,452
1,FRA,THA2  ,GOV   ,50,19,2002,2,Agonus cataphractus,2,8,D ,54.8167,3.9667,41,V   ,C ,356
1,ENG,CIR   ,GOV   ,50,5,2002,2,Agonus cataphractus,2,4,D ,53.35,3.1833,31,V   ,C ,253
1,ENG,CIR   ,GOV   ,50,33,2002,2,Agonus cataphractus,2,16,D ,54.6333,5.5167,45,V   ,C ,360
1,ENG,CIR   ,GOV   ,50,14,2002,4,Agonus cataphractus,2,10,D ,55.8333,1.1667,78,V   ,C ,419
1,FRA,THA2  ,GOV   ,50,22,2002,2,Agonus cataphractus,2,9,D ,56.15,4.8167,50,V   ,C ,460
1,FRA,THA2  ,GOV   ,50,3,2002,2,Agonus cataphractus,2,4,D ,52.2833,4.1333,16,V   ,C ,187
1,ENG,CIR   ,GOV   ,50,38,2002,18,Agonus cataphractus,2,18,D ,53.4667,0.7167,24,V   ,C ,248
1,SWE,ARG   ,GOV   ,60,11,2002,10,Agonus cataphractus,1,24,D ,57.4532,8.531,54,V   ,C ,536
1,SCO,SCO3  ,GOV   ,60,2,2002,2,Agonus cataphractus,1,19,D ,56.5162,-2.1823,63,V   ,C ,480
1,ENG,CIR   ,GOV   ,50,2,2002,82,Agonus cataphractus,2,3,D ,51.75,1.7333,32,V   ,C ,148
1,SCO,SCO3  ,GOV   ,60,39,2002,2,Agonus cataphractus,2,1,D ,60.7997,-0.6245,130,V   ,C ,755
1,ENG,CIR   ,GOV   ,50,8,2002,2,Agonus cataphractus,2,5,D ,54.25,2.8333,51,V   ,C ,320
1,FRA,THA2  ,GOV   ,50,75,2002,2,Agonus cataphractus,2,27,D ,51.5333,2.0667,36,V   ,C ,149
1,FRA,THA2  ,GOV   ,50,37,2002,2,Agonus cataphractus,2,13,D ,53.85,6.1833,23,V   ,C ,293
1,ENG,CIR   ,GOV   ,50,4,2002,2,Agonus cataphractus,2,4,D ,52.8,2.7333,41,V   ,C ,218
1,FRA,THA2  ,GOV   ,50,28,2002,2,Agonus cataphractus,2,10,D ,56.0667,7.1333,22,V   ,C ,465
1,FRA,THA2  ,GOV   ,50,14,2002,4,Agonus cataphractus,2,6,D ,54.25,6.1167,33,V   ,C ,327
1,SCO,SCO3  ,GOV   ,60,21,2002,2,Agonus cataphractus,1,25,D ,57.6343,2.4363,85,V   ,C ,557
1,SWE,ARG   ,GOV   ,60,19,2002,4,Agonus cataphractus,1,29,D ,56.4368,11.0868,19,V   ,C ,473
1,SWE,ARG   ,GOV   ,60,10,2002,10,Agonus cataphractus,1,24,D ,57.4277,8.5915,39,V   ,C ,536
1,SCO,SCO3  ,GOV   ,60,52,2009,4,Agonus cataphractus,2,15,D ,56.5793,1.1577,90,V   ,C ,487
1,FRA,THA2  ,GOV   ,50,10,2009,2,Agonus cataphractus,1,20,D ,50.8617,1.3472,32,V   ,C ,79
1,FRA,THA2  ,GOV   ,50,11,2009,4,Agonus cataphractus,1,20,D ,50.3832,0.7857,39,V   ,C ,44
1,FRA,THA2  ,GOV   ,50,13,2009,2,Agonus cataphractus,1,21,D ,49.9796,0.7928,31,V   ,C ,10
1,FRA,THA2  ,GOV   ,50,14,2009,4,Agonus cataphractus,1,21,D ,50.4745,1.4414,27,V   ,C ,45
1,FRA,THA2  ,GOV   ,50,15,2009,44,Agonus cataphractus,1,22,D ,51.1181,2.1041,36,V   ,C ,115
1,FRA,THA2  ,GOV   ,50,16,2009,9,Agonus cataphractus,1,22,D ,51.0919,1.9506,35,V   ,C ,114
1,FRA,THA2  ,GOV   ,50,19,2009,2,Agonus cataphractus,1,23,D ,52.3463,2.0642,40,V   ,C ,183
1,FRA,THA2  ,GOV   ,50,20,2009,4,Agonus cataphractus,1,24,D ,52.4969,1.9079,31,V   ,C ,182
1,FRA,THA2  ,GOV   ,50,23,2009,10,Agonus cataphractus,1,25,D ,53.4412,0.7523,21,V   ,C ,248
1,FRA,THA2  ,GOV   ,50,25,2009,6,Agonus cataphractus,1,25,D ,53.9514,1.2636,41,V   ,C ,283
1,FRA,THA2  ,GOV   ,50,26,2009,2,Agonus cataphractus,1,26,D ,54.4136,0.3041,67,V   ,C ,315
1,GFR,WAH3  ,GOV   ,50,26,2009,2,Agonus cataphractus,2,1,D ,58.3528,-2.5647,55,V   ,C ,581
1,NOR,58G2  ,GOV   ,-9,69,2009,4,Agonus cataphractus,2,19,D ,56.8733,4.06,55,V   ,C ,493
1,FRA,THA2  ,GOV   ,50,37,2009,25,Agonus cataphractus,1,29,D ,53.3448,1.7961,32,V   ,C ,250
1,FRA,THA2  ,GOV   ,50,38,2009,2,Agonus cataphractus,1,29,D ,53.5794,2.2099,19,V   ,C ,285
1,FRA,THA2  ,GOV   ,50,41,2009,2,Agonus cataphractus,1,31,D ,52.455,3.915,25,V   ,C ,186
1,FRA,THA2  ,GOV   ,50,43,2009,2,Agonus cataphractus,2,1,D ,53.9695,3.041,39,V   ,C ,287
1,FRA,THA2  ,GOV   ,50,46,2009,2,Agonus cataphractus,2,3,D ,56.0581,7.1333,29,V   ,C ,465
1,FRA,THA2  ,GOV   ,50,47,2009,12,Agonus cataphractus,2,3,D ,55.8648,7.2305,31,V   ,C ,431
1,FRA,THA2  ,GOV   ,50,49,2009,8,Agonus cataphractus,2,3,D ,55.9122,6.642,40,V   ,C ,430
1,FRA,THA2  ,GOV   ,50,52,2009,2,Agonus cataphractus,2,4,D ,55.131,5.1652,41,V   ,C ,393
1,FRA,THA2  ,GOV   ,50,53,2009,104,Agonus cataphractus,2,5,D ,55.2547,6.654,42,V   ,C ,396
1,FRA,THA2  ,GOV   ,50,54,2009,2,Agonus cataphractus,2,5,D ,54.9007,6.7772,38,V   ,C ,362
1,FRA,THA2  ,GOV   ,50,55,2009,8,Agonus cataphractus,2,5,D ,54.8625,7.1576,27,V   ,C ,363
