group,subgroup,species,min_depth,max_depth,location,longitude,latitude,survey_min,survey_max,season,ref_id,ref_W_to_E,total.hauls,count,std_min_depth,std_max_depth,std_log_min_depth,std_log_max_depth,BO_sstmean,BO_sstmax,BO_sstmin,BO_sstrange,BO_salinity,BO_chlomean,btemp,min_com_depth,max_com_depth,mean_com_depth,liter_d_range,grossaff,grossaff_range
mollusca,cephalopoda,Alloteuthis media,30,585,S aegean,25.5,37,16,770,spr/sum,11,9,708,6,-9.166666667,72.04,-0.055522223,0.205249725,19.13529987,24.5348999,15.06430006,9.470600128,39.09529991,0.1573,15.38999863,0,674,337,674,17.91,9.41
mollusca,cephalopoda,Alloteuthis media,21,525,adriatic/ionian,18.9,42,10,800,spr/sum,15,7,121,6,-18.16666667,12.04,-0.412197166,0.09703614,19.07050006,25.95808347,12.95050009,13.00758322,38.51816718,0.342583336,13.80644827,0,674,337,674,17.91,9.41
mollusca,cephalopoda,Alloteuthis media,12,478,Ionian,17.5,38.5,10,4000,all,9,6,1841,6,-27.16666667,-34.96,-0.971812954,0.00324861,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,0,674,337,674,17.91,9.41
mollusca,cephalopoda,Alloteuthis subulata,75,431,malta,14.8,35.9,0,687,spr/sum,3,5,86,4,37.5,46.5,0.897050472,0.258741856,20.51350021,26.77370014,15.07630005,11.6973999,37.83890038,0.145300001,14.25522861,0,630,315,630,12.45,13.86
mollusca,cephalopoda,Alloteuthis subulata,27,451,spain,1,39,25,800,spr/sum,1,1,1600,4,-10.5,66.5,-0.124600776,0.304101106,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,0,630,315,630,12.45,13.86
mollusca,cephalopoda,Alloteuthis subulata,36,117,adriatic/ionian,18.9,42,10,800,spr/sum,15,7,121,4,-1.5,-267.5,0.163081297,-1.045192299,19.07050006,25.95808347,12.95050009,13.00758322,38.51816718,0.342583336,13.80644827,0,630,315,630,12.45,13.86
mollusca,cephalopoda,Alloteuthis subulata,12,539,Ionian,17.5,38.5,10,4000,all,9,6,1841,4,-25.5,154.5,-0.935530992,0.482349337,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,0,630,315,630,12.45,13.86
chordata,fish,Alosa fallax,33,90,spain,1,39,25,800,spr/sum,1,1,1600,3,-19.33333333,-23.66666667,-0.383791248,-0.221658768,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,10,400,205,390,12.74,6.6
chordata,fish,Alosa fallax,82,126,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,3,29.66666667,12.33333333,0.526420438,0.114813469,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,10,400,205,390,12.74,6.6
chordata,fish,Alosa fallax,42,125,Ionian,17.5,38.5,10,4000,all,9,6,1841,3,-10.33333333,11.33333333,-0.142629191,0.106845299,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,10,400,205,390,12.74,6.6
crustacea,malacostraca,Alpheus glaber,109,109,malta,14.8,35.9,0,687,spr/sum,3,5,86,4,57.5,-403.25,0.911990004,-1.302442515,20.51350021,26.77370014,15.07630005,11.6973999,37.83890038,0.145300001,14.25522861,5,800,402.5,795,17.42,12.27
crustacea,malacostraca,Alpheus glaber,34,754,spain,1,39,25,800,spr/sum,1,1,1600,4,-17.5,241.75,-0.252997354,0.631601971,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,5,800,402.5,795,17.42,12.27
crustacea,malacostraca,Alpheus glaber,32,400,corsica,12,41.5,10,760,spr/sum,14,3,46,4,-19.5,-112.25,-0.313621976,-0.00232585,19.28058322,25.85475032,13.85058339,12.00416668,37.42674987,0.212500001,14.10588751,5,800,402.5,795,17.42,12.27
crustacea,malacostraca,Alpheus glaber,31,786,Ionian,17.5,38.5,10,4000,all,9,6,1841,4,-20.5,273.75,-0.345370674,0.673166395,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,5,800,402.5,795,17.42,12.27
mollusca,cephalopoda,Ancistroteuthis lichtensteinii,81,793,spain,1,39,25,800,spr/sum,1,1,1600,3,-221.6666667,82,-1.035271379,0.119873189,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,5,3000,1502.5,2995,17.33,14.76
mollusca,cephalopoda,Ancistroteuthis lichtensteinii,257,770,S aegean,25.5,37,16,770,spr/sum,11,9,708,3,-45.66666667,59,0.119355551,0.090440482,19.13529987,24.5348999,15.06430006,9.470600128,39.09529991,0.1573,15.38999863,5,3000,1502.5,2995,17.33,14.76
mollusca,cephalopoda,Ancistroteuthis lichtensteinii,570,570,levant,34.5,31.9,200,570,aut,12,11,298,3,267.3333333,-141,0.915915827,-0.210313672,22.95920048,28.76300011,17.56889992,11.1941,39.08030052,0.287199996,14.9888751,5,3000,1502.5,2995,17.33,14.76
chordata,fish,Anthias anthias,125,144,malta,14.8,35.9,0,687,spr/sum,3,5,86,4,30.75,-17,0.343820549,-0.064612591,20.51350021,26.77370014,15.07630005,11.6973999,37.83890038,0.145300001,14.25522861,3,300,151.5,297,17.97,5.44
chordata,fish,Anthias anthias,47,243,spain,1,39,25,800,spr/sum,1,1,1600,4,-47.25,82,-0.634345587,0.458635552,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,3,300,151.5,297,17.97,5.44
chordata,fish,Anthias anthias,104,104,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,4,9.75,-57,0.15989771,-0.390034992,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,3,300,151.5,297,17.97,5.44
chordata,fish,Anthias anthias,101,153,Ionian,17.5,38.5,10,4000,all,9,6,1841,4,6.75,-8,0.130627328,-0.003987969,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,3,300,151.5,297,17.97,5.44
chordata,fish,Argentina sphyraena,91,455,malta,14.8,35.9,0,687,spr/sum,3,5,86,6,-5.5,-80.96,0.149659108,-0.140320898,20.51350021,26.77370014,15.07630005,11.6973999,37.83890038,0.145300001,14.25522861,50,700,375,650,17.11,16.05
chordata,fish,Argentina sphyraena,75,687.76,spain,1,39,25,800,spr/sum,1,1,1600,6,-21.5,151.8,-0.043712285,0.272821623,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,50,700,375,650,17.11,16.05
chordata,fish,Argentina sphyraena,107,433,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,6,10.5,-102.96,0.311628436,-0.189880589,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,50,700,375,650,17.11,16.05
chordata,fish,Argentina sphyraena,88,395,N aegean,26,40.5,63,401,all,8,10,24,6,-8.5,-140.96,0.116136416,-0.281732552,17.91116667,25.72733323,11.55133335,14.17600012,34.77541637,0.751416658,14.83532982,50,700,375,650,17.11,16.05
chordata,fish,Argentina sphyraena,200,570,levant,34.5,31.9,200,570,aut,12,11,298,6,103.5,34.04,0.937116968,0.085018044,22.95920048,28.76300011,17.56889992,11.1941,39.08030052,0.287199996,14.9888751,50,700,375,650,17.11,16.05
chordata,fish,Argentina sphyraena,18,675,Ionian,17.5,38.5,10,4000,all,9,6,1841,6,-78.5,139.04,-1.470828641,0.254094374,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,50,700,375,650,17.11,16.05
chordata,fish,Argyropelecus hemigymnus,58,798,spain,1,39,25,800,spr/sum,1,1,1600,3,-226.3333333,111,-1.279335498,0.159183612,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,0,2400,1200,2400,19.73,25.68
chordata,fish,Argyropelecus hemigymnus,355,693,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,3,70.66666667,6,0.53233928,0.018105013,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,0,2400,1200,2400,19.73,25.68
chordata,fish,Argyropelecus hemigymnus,440,570,levant,34.5,31.9,200,570,aut,12,11,298,3,155.6666667,-117,0.746996218,-0.177288625,22.95920048,28.76300011,17.56889992,11.1941,39.08030052,0.287199996,14.9888751,0,2400,1200,2400,19.73,25.68
chordata,fish,Ariosoma balearicum,112,391,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,3,61.16666667,127.5,1.151861177,0.674164397,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,1,732,366.5,731,24.06,18.27
chordata,fish,Ariosoma balearicum,16.5,59.5,levant,34.5,31.9,16,570,spr/sum,12,11,298,3,-34.33333333,-204,-0.763277313,-1.208566851,22.95920048,28.76300011,17.56889992,11.1941,39.08030052,0.287199996,14.9888751,1,732,366.5,731,24.06,18.27
chordata,fish,Ariosoma balearicum,24,340,Ionian,17.5,38.5,10,4000,all,9,6,1841,3,-26.83333333,76.5,-0.388583864,0.534402454,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,1,732,366.5,731,24.06,18.27
crustacea,malacostraca,Aristaeomorpha foliacea,425,687,malta,14.8,35.9,0,687,spr/sum,3,5,86,5,-36.2,-0.338,-0.03851949,0.004350721,20.51350021,26.77370014,15.07630005,11.6973999,37.83890038,0.145300001,14.25522861,60,1300,680,1240,21.99,22.64
crustacea,malacostraca,Aristaeomorpha foliacea,457,682.69,spain,1,39,25,800,spr/sum,1,1,1600,5,-4.2,-4.648,0.034074732,-0.001942694,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,60,1300,680,1240,21.99,22.64
crustacea,malacostraca,Aristaeomorpha foliacea,737,737,balearic islands,3.4,40,44,745,spring,10,2,88,5,275.8,49.662,0.511979233,0.074604321,19.36524995,26.4657499,13.69933343,12.76641671,37.54966609,0.210833332,13.32353926,60,1300,680,1240,21.99,22.64
crustacea,malacostraca,Aristaeomorpha foliacea,320,570,levant,34.5,31.9,200,570,aut,12,11,298,5,-141.2,-117.338,-0.322287663,-0.18234721,22.95920048,28.76300011,17.56889992,11.1941,39.08030052,0.287199996,14.9888751,60,1300,680,1240,21.99,22.64
crustacea,malacostraca,Aristaeomorpha foliacea,367,760,corsica,12,41.5,10,760,spr/sum,14,3,46,5,-94.2,72.662,-0.185246811,0.105334862,19.28058322,25.85475032,13.85058339,12.00416668,37.42674987,0.212500001,14.10588751,60,1300,680,1240,21.99,22.64
crustacea,malacostraca,Aristeus antennatus,604,687,malta,14.8,35.9,0,687,spr/sum,3,5,86,5,137.8,-29.9,0.320972179,-0.035070065,20.51350021,26.77370014,15.07630005,11.6973999,37.83890038,0.145300001,14.25522861,100,2200,1150,2100,20.9,16.27
crustacea,malacostraca,Aristeus antennatus,257,822.5,spain,1,39,25,800,spr/sum,1,1,1600,5,-209.2,105.6,-0.533525934,0.144944125,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,100,2200,1150,2100,20.9,16.27
crustacea,malacostraca,Aristeus antennatus,649,745,balearic islands,3.4,40,44,745,spring,10,2,88,5,182.8,28.1,0.392830697,0.045979861,19.36524995,26.4657499,13.69933343,12.76641671,37.54966609,0.210833332,13.32353926,100,2200,1150,2100,20.9,16.27
crustacea,malacostraca,Aristeus antennatus,320,570,levant,34.5,31.9,200,570,aut,12,11,298,5,-146.2,-146.9,-0.314281023,-0.221767997,22.95920048,28.76300011,17.56889992,11.1941,39.08030052,0.287199996,14.9888751,100,2200,1150,2100,20.9,16.27
crustacea,malacostraca,Aristeus antennatus,501,760,corsica,12,41.5,10,760,spr/sum,14,3,46,5,34.8,43.1,0.134004082,0.065914076,19.28058322,25.85475032,13.85058339,12.00416668,37.42674987,0.212500001,14.10588751,100,2200,1150,2100,20.9,16.27
chordata,fish,Arnoglossus kessleri,10,126,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,3,-101.3333333,-24,-1.837809582,-0.148678373,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,1,200,100.5,199,18.52,4.03
chordata,fish,Arnoglossus kessleri,200,200,levant,34.5,31.9,200,570,aut,12,11,298,3,88.66666667,50,1.157922691,0.313357087,22.95920048,28.76300011,17.56889992,11.1941,39.08030052,0.287199996,14.9888751,1,200,100.5,199,18.52,4.03
chordata,fish,Arnoglossus kessleri,124,124,Ionian,17.5,38.5,10,4000,all,9,6,1841,3,12.66666667,-26,0.679886891,-0.164678714,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,1,200,100.5,199,18.52,4.03
chordata,fish,Arnoglossus laterna,78,137,malta,14.8,35.9,0,687,spr/sum,3,5,86,5,38.6,-207.15,0.927095825,-0.791271764,20.51350021,26.77370014,15.07630005,11.6973999,37.83890038,0.145300001,14.25522861,10,200,105,190,11.84,14.1
chordata,fish,Arnoglossus laterna,25,337.75,spain,1,39,25,800,spr/sum,1,1,1600,5,-14.4,-6.4,-0.210737177,0.111053287,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,10,200,105,190,11.84,14.1
chordata,fish,Arnoglossus laterna,19,389,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,5,-20.4,44.85,-0.485174022,0.252326654,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,10,200,105,190,11.84,14.1
chordata,fish,Arnoglossus laterna,63,220,N aegean,26,40.5,63,401,all,8,10,24,5,23.6,-124.15,0.713521725,-0.317625143,17.91116667,25.72733323,11.55133335,14.17600012,34.77541637,0.751416658,14.83532982,10,200,105,190,11.84,14.1
chordata,fish,Arnoglossus laterna,12,637,Ionian,17.5,38.5,10,4000,all,9,6,1841,5,-27.4,292.85,-0.944706352,0.745516966,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,10,200,105,190,11.84,14.1
chordata,fish,Arnoglossus rueppelii,76,431,malta,14.8,35.9,0,687,spr/sum,3,5,86,5,-20.4,-57.85,0.072454205,-0.085341861,20.51350021,26.77370014,15.07630005,11.6973999,37.83890038,0.145300001,14.25522861,85,897,491,812,21.23,6.08
chordata,fish,Arnoglossus rueppelii,77,629.25,spain,1,39,25,800,spr/sum,1,1,1600,5,-19.4,140.4,0.085526286,0.293078683,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,85,897,491,812,21.23,6.08
chordata,fish,Arnoglossus rueppelii,116,389,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,5,19.6,-99.85,0.495311056,-0.187870607,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,85,897,491,812,21.23,6.08
chordata,fish,Arnoglossus rueppelii,200,320,levant,34.5,31.9,200,570,aut,12,11,298,5,103.6,-168.85,1.040038231,-0.383128955,22.95920048,28.76300011,17.56889992,11.1941,39.08030052,0.287199996,14.9888751,85,897,491,812,21.23,6.08
chordata,fish,Arnoglossus rueppelii,13,675,Ionian,17.5,38.5,10,4000,all,9,6,1841,5,-83.4,186.15,-1.693329778,0.36326274,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,85,897,491,812,21.23,6.08
chordata,fish,Arnoglossus thori,73,81,malta,14.8,35.9,0,687,spr/sum,3,5,86,5,31,-154,0.747873959,-0.534261651,20.51350021,26.77370014,15.07630005,11.6973999,37.83890038,0.145300001,14.25522861,15,300,157.5,285,18.78,15.12
chordata,fish,Arnoglossus thori,25,615,spain,1,39,25,800,spr/sum,1,1,1600,5,-17,380,-0.323709657,1.492911462,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,15,300,157.5,285,18.78,15.12
chordata,fish,Arnoglossus thori,25,34,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,5,-17,-201,-0.323709657,-1.402350281,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,15,300,157.5,285,18.78,15.12
chordata,fish,Arnoglossus thori,72,82,N aegean,26,40.5,63,401,all,8,10,24,5,30,-153,0.734080637,-0.521991558,17.91116667,25.72733323,11.55133335,14.17600012,34.77541637,0.751416658,14.83532982,15,300,157.5,285,18.78,15.12
chordata,fish,Arnoglossus thori,15,363,Ionian,17.5,38.5,10,4000,all,9,6,1841,5,-27,128,-0.834535281,0.965692029,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,15,300,157.5,285,18.78,15.12
chordata,fish,Aulopus filamentosus,106,424,spain,1,39,25,800,spr/sum,1,1,1600,3,-25.66666667,38.66666667,-0.203186821,0.179072697,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,50,1000,525,950,26.27,11.81
chordata,fish,Aulopus filamentosus,159,196,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,3,27.33333333,-189.3333333,0.202278287,-0.592546099,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,50,1000,525,950,26.27,11.81
chordata,fish,Aulopus filamentosus,130,536,Ionian,17.5,38.5,10,4000,all,9,6,1841,3,-1.666666667,150.6666667,0.000908535,0.413473403,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,50,1000,525,950,26.27,11.81
chordata,fish,Bathophilus nigerrimus,462,720,spain,1,39,25,800,spr/sum,1,1,1600,3,7,87,0.032612875,0.133329412,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,1000,4000,2500,3000,22.46,17.25
chordata,fish,Bathophilus nigerrimus,553,593,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,3,98,-40,0.212405986,-0.060727401,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,1000,4000,2500,3000,22.46,17.25
chordata,fish,Bathophilus nigerrimus,350,586,Ionian,17.5,38.5,10,4000,all,9,6,1841,3,-105,-47,-0.245018861,-0.072602011,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,1000,4000,2500,3000,22.46,17.25
crustacea,malacostraca,Bathynectes maravigna,542,680,malta,14.8,35.9,0,687,spr/sum,3,5,86,3,149,-1,0.625104851,0.010031211,20.51350021,26.77370014,15.07630005,11.6973999,37.83890038,0.145300001,14.25522861,9,1455,732,1446,19.13,18.84
crustacea,malacostraca,Bathynectes maravigna,81,807,spain,1,39,25,800,spr/sum,1,1,1600,3,-312,126,-1.275711995,0.181262081,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,9,1455,732,1446,19.13,18.84
crustacea,malacostraca,Bathynectes maravigna,556,556,corsica,12,41.5,10,760,spr/sum,14,3,46,3,163,-125,0.650607144,-0.191293293,19.28058322,25.85475032,13.85058339,12.00416668,37.42674987,0.212500001,14.10588751,9,1455,732,1446,19.13,18.84
chordata,fish,Benthocometes robustus,455,455,malta,14.8,35.9,0,687,spr/sum,3,5,86,4,117.875,-209.5,0.47855966,-0.356380925,20.51350021,26.77370014,15.07630005,11.6973999,37.83890038,0.145300001,14.25522861,500,1000,750,500,23.83,19.21
chordata,fish,Benthocometes robustus,407.5,786,spain,1,39,25,800,spr/sum,1,1,1600,4,70.375,121.5,0.368303174,0.190278449,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,500,1000,750,500,23.83,19.21
chordata,fish,Benthocometes robustus,401,650,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,4,63.875,-14.5,0.352223668,0.000294019,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,500,1000,750,500,23.83,19.21
chordata,fish,Benthocometes robustus,85,767,Ionian,17.5,38.5,10,4000,all,9,6,1841,4,-252.125,102.5,-1.199086502,0.165808457,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,500,1000,750,500,23.83,19.21
chordata,fish,Blennius ocellaris,78,132,malta,14.8,35.9,0,687,spr/sum,3,5,86,7,29.85714286,-46.28571429,0.638846585,-0.223931246,20.51350021,26.77370014,15.07630005,11.6973999,37.83890038,0.145300001,14.25522861,10,400,205,390,17.91,17.41
chordata,fish,Blennius ocellaris,25,351,spain,1,39,25,800,spr/sum,1,1,1600,7,-23.14285714,172.7142857,-0.498986417,0.754053055,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,10,400,205,390,17.91,17.41
chordata,fish,Blennius ocellaris,26,139,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,7,-22.14285714,-39.28571429,-0.459765704,-0.172259236,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,10,400,205,390,17.91,17.41
chordata,fish,Blennius ocellaris,44,139,balearic islands,3.4,40,44,745,spring,10,2,88,7,-4.142857143,-39.28571429,0.066327392,-0.172259236,19.36524995,26.4657499,13.69933343,12.76641671,37.54966609,0.210833332,13.32353926,10,400,205,390,17.91,17.41
chordata,fish,Blennius ocellaris,63,100,N aegean,26,40.5,63,401,all,8,10,24,7,14.85714286,-78.28571429,0.425272485,-0.501562983,17.91116667,25.72733323,11.55133335,14.17600012,34.77541637,0.751416658,14.83532982,10,400,205,390,17.91,17.41
chordata,fish,Blennius ocellaris,84,200,levant,34.5,31.9,16,570,all,12,11,298,7,35.85714286,21.71428571,0.712954557,0.191584198,22.95920048,28.76300011,17.56889992,11.1941,39.08030052,0.287199996,14.9888751,10,400,205,390,17.91,17.41
chordata,fish,Blennius ocellaris,17,187,Ionian,17.5,38.5,10,4000,all,9,6,1841,7,-31.14285714,8.714285714,-0.884648898,0.124375448,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,10,400,205,390,17.91,17.41
chordata,fish,Boops boops,76,190,malta,14.8,35.9,0,687,spr/sum,3,5,86,6,42.16666667,-82.72166667,1.115392495,-0.207596457,20.51350021,26.77370014,15.07630005,11.6973999,37.83890038,0.145300001,14.25522861,0,350,175,350,18.15,8.36
chordata,fish,Boops boops,26,525.33,spain,1,39,25,800,spr/sum,1,1,1600,6,-7.833333333,252.6083333,0.042755693,0.809406107,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,0,350,175,350,18.15,8.36
chordata,fish,Boops boops,10,296,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,6,-23.83333333,23.27833333,-0.912755752,0.235738925,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,0,350,175,350,18.15,8.36
chordata,fish,Boops boops,63,100,N aegean,26,40.5,63,401,all,8,10,24,6,29.16666667,-172.7216667,0.927793881,-0.849450343,17.91116667,25.72733323,11.55133335,14.17600012,34.77541637,0.751416658,14.83532982,0,350,175,350,18.15,8.36
chordata,fish,Boops boops,16,146,levant,34.5,31.9,16,570,spr/sum,12,11,298,6,-17.83333333,-126.7216667,-0.442752123,-0.471013908,22.95920048,28.76300011,17.56889992,11.1941,39.08030052,0.287199996,14.9888751,0,350,175,350,18.15,8.36
chordata,fish,Boops boops,12,379,Ionian,17.5,38.5,10,4000,all,9,6,1841,6,-21.83333333,106.2783333,-0.730434195,0.482915676,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,0,350,175,350,18.15,8.36
chordata,fish,Bothus podas,30,274,spain,1,39,25,800,spr/sum,1,1,1600,4,13.25,10,0.682630764,0.664884062,19.46058337,26.56716665,13.94791659,12.61925006,37.4078331,0.227666667,13.30656366,15,400,207.5,385,19.74,14.04
chordata,fish,Bothus podas,10,29,S tyrrhenian,13.9,38.7,10,693,spr/sum,5,4,249,4,-6.75,-235,-0.415981524,-1.580948214,20.22981817,27.48236361,14.1264547,13.355909,37.88718172,0.167818181,14.2853549,15,400,207.5,385,19.74,14.04
chordata,fish,Bothus podas,16,73,levant,34.5,31.9,16,570,spr/sum,12,11,298,4,-0.75,-191,0.054022105,-0.657784603,22.95920048,28.76300011,17.56889992,11.1941,39.08030052,0.287199996,14.9888751,15,400,207.5,385,19.74,14.04
chordata,fish,Bothus podas,11,680,Ionian,17.5,38.5,10,4000,all,9,6,1841,4,-5.75,416,-0.320671345,1.573848754,19.88266691,26.66058302,14.11508346,12.54550012,38.21675014,0.175250001,14.32066774,15,400,207.5,385,19.74,14.04
